"address";"region"
"101000, город москва, ул. покровка, д. 1/13/6 корпус строение 2, чердак пом iv комн 3";Москва
"105005, г.москва, ул. бауманская, д. 47, помещ. 1н";Москва
"105043, г.москва, ул. 8-я парковая, д. 25, помещ. 2ц";Москва
"105120, г.москва, вн.тер.г. муниципальный округ басманный, ул нижняя сыромятническая, д. 10, стр. 9, офис 32";Москва
"105122, г. москва, проезд измайловский, д. 26, кв. 10";Москва
"107014, г. москва, ул. сокольническая 4-я, дом 1 а, э мансарда, пом. vi, ком. 20";Москва
"107078, г. москва, ул. новая басманная, д. 23, стр. 1а, пом. i, ком. 6, эт. 3.";Москва
"107078, г. москва, ул. садовая – спасская, дом 21/1, эт. 2 пом. ii, ком 18";Москва
"107078, г.москва, ул. новая басманная, д. 9/2-4, стр. 6";Москва
"108803, г. москва, пос. сосенское, кв-л 163, д. 2, стр. 1";Москва
"108818, г. москва, пос. десеновское, пос. ватутинки";Москва
"108819, россия, г. москва, поселение московский, пос. института полиомиелита, д. 5, кв. 107";Москва
"108840, москва, г. троицк, ул. бориса житкова, д. 1, кв. 9";Москва
"108850, г москва, п. внуковское, ул. летчика ульянина, д. 2, кв. 66";Москва
"108850, г. москва, поселение внуковское, ул. бориса пастернака, д. 33, корп. 2, кв. 129";Москва
"109028, город москва, пер. хохловский, д. 13, стр. 1, эт цок пом i ком 26;26а;27;27а";Москва
"109202, г. москва, ул. бронницкая, 12, кв. 6";Москва
"109369, г. москва, ул. люблинская, д. 112, кв. 100";Москва
"111024, г. москва, ул. авиамоторная, д.28/4, кв.64";Москва
"111024, город москва, улица авиамоторная, дом 12, этаж 5 офис xvi (ком4) рм1";Москва
"111401, г. москва, ул 3-я владимирская, д. 20, кв. 70";Москва
"111674, г. москва, г. москва, ул. некрасовская, 7, кв. 53";Москва
"111674, г. москва, ул. рождественская, д.21, корп. 4, кв. 222";Москва
"111675, город москва, ул руднёвка, д. 4, ком. 1 р/м 5/1";Москва
"111677, г. москва, ул. лавриненко, д.13к2, кв.75";Москва
"115035, г. москва, климентовский пер., д.10, стр.3";Москва
"115088, город москва, улица угрешская, дом 14, строение 1, офис 302";Москва
"115093, город москва, улица большая серпуховская, дом 44, этаж 3 пом i ком 19 (рмш)";Москва
"115162, г. москва, ул. люсиновская, 64, 186";Москва
"115230, г. москва, каширское шоссе, д. 9, корп. 4, кв. 4";Москва
"115407, г. москва, наб. нагатинская, д. 60, корп. 3, кв. 241";Москва
"115419, г москва, проезд 2-й рощинский, д 8, стр 4, подъезд 3, этаж 2, ком. 3, офис 1";Москва
"115419, г. москва, 2й в. михайловский пр-д, дом 10, кв.5";Москва
"115597, г. москва, ул. воронежская, д. 34, к. 2, кв. 90";Москва
"117105, г.москва, вн.тер.г. муниципальный округ донской, ш варшавское, д. 1а, помещ. 3к/1п";Москва
"117292, г. москва, ул. дмитрия ульянова, д. 30, к. 2";Москва
"117447, город москва, проспект севастопольский, 10, стр.2";Москва
"117461, москва, ул. каховка, 20а";Москва
"119017, г. москва, ул. большая полянка, д. 51а/9, помещ. 1/1/8";Москва
"119048, г. москва, ул. ефремова, д. 20, эт./п/к/оф 1/i/4/202";Москва
"119048, г. москва, ул. усачева, д.2, стр.3, кв.21";Москва
"119121, г. москва, неопалимовский 1-й пер., 8,47";Москва
"119180, г. москва, ул. большая полянка, д. 51а/9, э 8, пом. i, к 1, оф. 101";Москва
"119415, город москва, пр-кт вернадского, д. 41 стр. 1, этаж 3 помещ. i ком. 51";Москва
"119602, г. москва, ул. покрышкина 8";Москва
"121500, г. москва, ул. 2-я новорублевская, д. 15, корп. 2, кв. 41";Москва
"121601, город москва, филёвский б-р, д. 10 к. 3, этаж 2 помещ./комната i/23";Москва
"121615, г. москва, п. рублевское шоссе, д. 20, корпус 3, кв. 231";Москва
"123007, город москва, улица магистральная 4-я, дом 7, строение 1, помещение 106";Москва
"123100, город москва, проезд шмитовский, дом 16, строение 1, э 2 пом ii ком 10в";Москва
"123103, г москва, пр-кт маршала жукова, д 78 к 5, кв 52";Москва
"123112, город москва, набережная пресненская, дом 12, этаж/офис 55/543";Москва
"123458, город москва, ул. маршала прошлякова, д. 10, к. 1";Москва
"125008, г. москва, б-р. матроса железняка, д. 34, кв. 69";Москва
"125171, москва г, ленинградское ш, 2а";Москва
"125212, г. москва, ул. адмирала макарова, д. 6, к.1";Москва
"125412, г. москва, ул. ангарская, дом 45, корп. 4, кв. 60";Москва
"125481, г. москва, ул. фомичевой, д. 3, стр. 1, кв. 342";Москва
"125504, г. москва, ш. дмитровское, д. 73б, кв. 364";Москва
"127006, город москва, ул. садовая-триумфальная, д. 4-10, помещ. ii комн 13 офис 92";Москва
"127006, город москва, ул. тверская, д. 18, к. 1, эт/пом/к/о 5/i/18/523";Москва
"127051 г .москва, ул. садовая-каретная, д.20 корпус стр.1";Москва
"127221, г. москва, северное медведково, пр-д шокальского, 30б, кв.56";Москва
"127253, г. москва, ул. псковская, д. 4, кв. 33";Москва
"127411, гор. москва, ул. лобненская, д. 6 а, кв. 11";Москва
"127540, г. москва, ул. дубнинская, д.4, корп.1, кв.137";Москва
"127549, г. москва,  ул. бибиревская, влд 4, оф. 306";Москва
"127576, г. москва, ул. абрамцевская, д. 8, кв. 105";Москва
"127644, г москва, ул лобненская, 21, ком 1ж";Москва
"129336, г.москва, ул.малыгина, д. 2, корп. 2, этаж/комн. 3/18";Москва
"129344, г москва, г. ул. печорская, д. 3, кв. 222";Москва
"129346, г. москва, ул. изумрудная, д. 20, кв. 41";Москва
"129626, г.москва, пр-кт мира, д.106";Москва
"140055, московская обл., г. котельники, ул. белая дача, д. 12, кв. 97";Московская область
"140140, московская обл., раменский р-н, п. удельная, д. 90, кв. 21»а» (117342, г. москва, ул. островитянова, д. 53, кв. 467)";Московская область
"140209, московская обл., г. воскресенск, ул. зелинского д. 20, кв. 40";Московская область
"140483, московская область, р-н коломенский, пос. радужный ,  д. 36, кв. 23";Московская область
"141100, московская обл., г. щёлково, ул. талсинская, д. 59, стр. 5, оф. 206";Московская область
"141201, московская область, г. пушкино, ш. ярославское, 12, кв. 24";Московская область
"141202, московская обл, г пушкино, мкр дзержинец, д 12, кв 45";Московская область
"141407, московская область, г. химки, юбилейный пр-т, д. 7, помещение ii, оф. № 18";Московская область
"141435, московская область, г химки, ул соколовская, 3";Московская область
"141540, московская область, солнечногорский район, дп. поварово, микрорайон №1, д.1, кв.10";Московская область
"141542, московская область, солнечногорск город, смирновка поселок, дом 1, этаж/пом. 2/11";Московская область
"141595, область московская, деревня ложки, город солнечногорск, строение 04-а, помещение 7";Московская область
"141707, московская область, г. долгопрудный,  лихачевское ш., д. 6, корп. 4, помещение нп01";Московская область
"141733, московская область, г.о. лобня, г лобня, туп краснополянский, д. 2, помещ. 33";Московская область
"141839, область московская, город дмитров, деревня раменье, административное здание";Московская область
"141986, московская область, г. дубна, пр-кт боголюбова, д.12";Московская область
"142153, московская область, г.подольск, новогородово дер., д. 8 вблизи деревни, здание технопарка складской комплекс 8, оф. 59";Московская область
"142301, московская область, г.чехов, вишневый б-р, д.8, пом.48";Московская область
"142324, московская обл., г. чехов, д. крюково, д. 16, корп. общ., кв. 1";Московская область
"142530, московская область, г электрогорск, ул ленина, 11, 43";Московская область
"142605, г. москва, набережная новикова-прибоя, д. 7 кв. 9";Москва
"142970, московская область, г.о.серебряные пруды, ул.набережная, д.91, кв.9";Московская область
"143090, московская обл., г. краснознаменск, ул. октябрьская, д. 3";Московская область
"143395, область московская, город наро-фоминск, село петровское, улица заводская, 1, а (петровский с/о)";Московская область
"143500, область московская, город истра, деревня кашино, 50а, 2";Московская область
"143700, мо, г.о.шаховская, рп.шаховская, ул.привокзальная, д.3б";Московская область
"143900, московская обл., г. балашиха, ул. твардовского, д. 32";Московская область
"143911, московская область, г балашиха, 24, 147";Московская область
"143914, московская область, г. балашиха, шоссе энтузиастов, вл. 2, стр. 95";Московская область
"143930, московская область, балашиха город, пушкинская улица, владение 18";Московская область
"150001, ярославская область, г ярославль, ул мельничная, д. 59, кв. 21";Ярославская область
"150003, г.ярославль, воинова, д.2, кв.7";Ярославская область
"150036, ярославская обл., г. ярославль, ул. прилужская, д.5, кв.2,";Ярославская область
"150042, г. ярославль, ул. елены колесовой, дом 26-б, кв. 14";Ярославская область
"156008,г. кострома, ул. шагова, д. 221, кв. 29";Костромская область
"156026, костромская область, г. о. город кострома, г. кострома, ул. гагарина, д. 21, помещ. 1, ком. 11";Костромская область
"160029, г. вологда, ул. машиностроительная, д. 26";Вологодская область
"162691, вологодская область, р-н череповецкий, д. кошта";Вологодская область
"163026, архангельск, ул. победы, д.83 кв.14, адрес: 163000, архангельск, новгородский, д.34 кв. 60";Архангельская область
"163046, ул. песчная, д. 16а, корп. 2, кв. 5, п. черемушский котласского района, архангельская область";Архангельская область
"164110, архангельская обл., г. каргополь, 3 интернационала, д.70, кв.1,";Архангельская область
"164500, архангельская область, город северодвинск, чаячий пр-д, д. 29, офис 2";Архангельская область
"164639, россия, архангельская область, район пинежский, деревня занюхча, улица лесная, дом №19а";Архангельская область
"165313, ул. невелькой дивизии, д. 8, кв. 21, г. котлас, архангельская область";Архангельская область
"165680, архангельская обл., вилегодский р-н, с. ильинско-подомское, ул. схт д. 2, кв. 7";Архангельская область
"167000, г. сыктывкар, ул. коммунистическая, д. 7, оф. 31";Республика Коми
"169710, республика коми, город усинск, магистральная ул, д. 13/1";Республика Коми
"170019, тверская область, г. тверь, ул. академика туполева, 117а";Тверская область
"170504, тверская обл., калининский р-н, д.заборовье";Тверская область
"180014, псковская область, г. псков, ул. новгородская, д.8а, кв. 5";Псковская область
"185031, республика карелия, г. петрозаводск, ул. трофима рябинина, д.13";Республика Карелия
"187026, область ленинградская, район тосненский, город никольское, улица комсомольская, 14, пом. 6";Ленинградская область
"187052, ленинградская обл., тосненский р-н, пос. сельцо, д.6, кв.42";Ленинградская область
"187700, ленинградская обл., лодейнопольский р-н, г.лодейное поле ул.титова, д.30, кв.20";Ленинградская область
"188561, ленинградская обл., г. сланцы, ул. маяковского, д.6а, кв.5";Ленинградская область
"188734, ленинградская область, м.р-н приозерский, с.п. запорожское, д удальцово, ул светлановская, д. 15";Ленинградская область
"191119, город санкт-петербург, наб. обводного канала, д. 93а, литер а, эт/пом/ком 5/5н/1466-1469";Санкт-Петербург
"194156, санкт-петербург г., сочинская ул., д. 2а, литер а, каб. 25а";Санкт-Петербург
"194292, г. санкт-петербург, ул. домостроительная, д. 7, стр. 1, пом. №4-н, каб. №47";Санкт-Петербург
"194295, санкт-петербург, ул. ивана фомина, д. 7, к. 3, кв. 346";Санкт-Петербург
"195027, г.санкт-петербург, ул.якорная, д.7а, литер д, помещ.4.04";Санкт-Петербург
"195298, г. санкт-петербург, пр-кт наставников, д.19, кв.425";Санкт-Петербург
"196070, г. санкт-петербург, ул. варшавская, д. 60, лит. а, кв. 41";Санкт-Петербург
"196655, г. санкт-петербург, г. колпино, ул. труда,  д. 13/8, лит. а, кв. 19";Санкт-Петербург
"197022, город санкт-петербург, ул. инструментальная, д. 3, литер а, ч.пом. 2н комн.27 офис 214";Санкт-Петербург
"197198, санкт-петербург, ул. ропшинская, д.1/32, лит.а, пом.10н, оф.64";Санкт-Петербург
"197373, г. санкт петербург, ул. планерная, д. 71, к. 5, кв. 49";Санкт-Петербург
"198302, г. санкт-петербург, ул. морской пехоты, д. 6, к. 1, литера а, кв. 21";Санкт-Петербург
"198323, г. санкт-петербург, тер. горелово, ш. красносельское, д.54, к.6, кв.233";Санкт-Петербург
"198329, город санкт-петербург, улица здоровцева, дом 10-а, квартира 16";Санкт-Петербург
"199106, город санкт-петербург, ул. гаванская, д. 37, литера а, помещ. 11-н комната 2";Санкт-Петербург
"199178, г.санкт-петербург, лн. 18-я в.о., д.31, литера 3";Санкт-Петербург
