"city";"region"
абаза;Республика Хакасия
абакан;Республика Хакасия
абдулино;Оренбургская область
абинск;Краснодарский край
агидель;Республика Башкортостан
агрыз;Республика Татарстан (Татарстан)
адыгейск;Республика Адыгея (Адыгея)
адыгея;Республика Адыгея (Адыгея)
азнакаево;Республика Татарстан (Татарстан)
ак-довурак;Республика Тыва
аксай;Ростовская область
алагир;Республика Северная Осетия — Алания
алапаевск;Свердловская область
алатырь;Чувашская Республика — Чувашия
алдан;Республика Саха (Якутия)
алейск;Республика Алтай
александров;Владимирская область
александровск;Пермский край
александровск-сахалинский;Сахалинская область
алексеевка;Белгородская область
алексин;Тульская область
алзамай;Иркутская область
алтай;Республика Алтай
алупка;Республика Крым
алушта;Республика Крым
альметьевск;Республика Татарстан (Татарстан)
анадырь;Чукотский автономный округ
анапа;Краснодарский край
ангарск;Иркутская область
андреаполь;Тверская область
анжеро-судженск;Кемеровская область — Кузбасс
анива;Сахалинская область
апатиты;Мурманская область
апрелевка;Московская область
апшеронск;Краснодарский край
арамиль;Свердловская область
аргун;Чеченская Республика
ардатов;Республика Мордовия
ардон;Республика Северная Осетия — Алания
арзамас;Нижегородская область
аркадак;Саратовская область
армавир;Краснодарский край
армянск;Республика Крым
арсеньев;Приморский край
артем;Приморский край
артемовск;Красноярский край
артемовский;Свердловская область
архангельск;Архангельская область
асбест;Свердловская область
асино;Томская область
астрахань;Астраханская область
аткарск;Саратовская область
ахтубинск;Астраханская область
ачинск;Красноярский край
ачхой-мартан;Чеченская Республика
бабаево;Вологодская область
бабушкин;Республика Бурятия
бавлы;Республика Татарстан (Татарстан)
багратионовск;Калининградская область
байкальск;Иркутская область
баймак;Республика Башкортостан
бакал;Челябинская область
баксан;Кабардино-Балкарская Республика
балабаново;Калужская область
балаково;Саратовская область
балахна;Нижегородская область
балашиха;Московская область
балашов;Саратовская область
балей;Забайкальский край
балтийск;Калининградская область
барабинск;Новосибирская область
барнаул;Республика Алтай
барыш;Ульяновская область
батайск;Ростовская область
бахчисарай;Республика Крым
бежецк;Тверская область
белая калитва;Ростовская область
белая холуница;Кировская область
белгород;Белгородская область
белебей;Республика Башкортостан
белев;Тульская область
белинский;Пензенская область
белово;Кемеровская область — Кузбасс
белозерск;Вологодская область
белокуриха;Республика Алтай
беломорск;Республика Карелия
белоозерский;Московская область
белорецк;Республика Башкортостан
белореченск;Краснодарский край
белоусово;Калужская область
белоярский;Ханты-Мансийский Автономный округ — Югра
белый;Тверская область
бердск;Новосибирская область
березники;Пермский край
беслан;Республика Северная Осетия — Алания
бийск;Республика Алтай
бикин;Хабаровский край
билибино;Чукотский автономный округ
биробиджан;Еврейская автономная область
бирск;Республика Башкортостан
бирюсинск;Иркутская область
бирюч;Белгородская область
благодарный;Ставропольский край
бобров;Воронежская область
богданович;Свердловская область
богородицк;Тульская область
богородск;Нижегородская область
боготол;Красноярский край
богучар;Воронежская область
бодайбо;Иркутская область
бокситогорск;Ленинградская область
болгар;Республика Татарстан (Татарстан)
бологое;Тверская область
болотное;Новосибирская область
болохово;Тульская область
болхов;Орловская область
большой камень;Приморский край
борзя;Забайкальский край
борисоглебск;Воронежская область
боровичи;Новгородская область
боровск;Калужская область
бородино;Красноярский край
братск;Иркутская область
бронницы;Московская область
брянск;Брянская область
бугры;Ленинградская область
бугульма;Республика Татарстан (Татарстан)
бугуруслан;Оренбургская область
буденновск;Ставропольский край
бузулук;Оренбургская область
буинск;Республика Татарстан (Татарстан)
буйнакск;Республика Дагестан
бутурлиновка;Воронежская область
валдай;Новгородская область
валуйки;Белгородская область
велиж;Смоленская область
великие луки;Псковская область
великий новгород;Новгородская область
великий устюг;Вологодская область
вельск;Архангельская область
венев;Тульская область
верещагино;Пермский край
верея;Московская область
верхнеуральск;Челябинская область
верхний тагил;Свердловская область
верхний уфалей;Челябинская область
верхняя пышма;Свердловская область
верхняя салда;Свердловская область
верхняя тура;Свердловская область
верхотурье;Свердловская область
верхоянск;Республика Саха (Якутия)
весьегонск;Тверская область
ветлуга;Нижегородская область
видное;Московская область
вилюйск;Республика Саха (Якутия)
вилючинск;Камчатский край
вихоревка;Иркутская область
вичуга;Ивановская область
владивосток;Приморский край
владикавказ;Республика Северная Осетия — Алания
владимир;Владимирская область
волгоград;Волгоградская область
волгодонск;Ростовская область
волгореченск;Костромская область
волжск;Республика Марий Эл
волжский;Волгоградская область
вологда;Вологодская область
володарск;Нижегородская область
волоколамск;Московская область
волосово;Ленинградская область
волхов;Ленинградская область
волчанск;Свердловская область
вольск;Саратовская область
воркута;Республика Коми
воронеж;Воронежская область
ворсма;Нижегородская область
воскресенск;Московская область
воткинск;Удмуртская Республика
всеволожск;Ленинградская область
вуктыл;Республика Коми
выборг;Ленинградская область
выкса;Нижегородская область
высоковск;Московская область
высоцк;Ленинградская область
вытегра;Вологодская область
вышний волочек;Тверская область
вяземский;Хабаровский край
вязники;Владимирская область
вязьма;Смоленская область
вятские поляны;Кировская область
гаврилов посад;Ивановская область
гаврилов-ям;Ярославская область
гагарин;Смоленская область
гаджиево;Мурманская область
галич;Костромская область
гатчина;Ленинградская область
гвардейск;Калининградская область
геленджик;Краснодарский край
георгиевск;Ставропольский край
глазов;Удмуртская Республика
голицыно;Московская область
горбатов;Нижегородская область
горно-алтайск;Республика Алтай
горнозаводск;Пермский край
горняк;Республика Алтай
городец;Нижегородская область
городище;Пензенская область
городовиковск;Республика Калмыкия
гороховец;Владимирская область
горячий ключ;Краснодарский край
грайворон;Белгородская область
гремячинск;Пермский край
грозный;Чеченская Республика
грязи;Липецкая область
грязовец;Вологодская область
губаха;Пермский край
губкин;Белгородская область
губкинский;Тюменская область
гудермес;Чеченская Республика
гуково;Ростовская область
гулькевичи;Краснодарский край
гусев;Калининградская область
гусиноозерск;Республика Бурятия
гусь-хрустальный;Владимирская область
давлеканово;Республика Башкортостан
дагестанские огни;Республика Дагестан
далматово;Курганская область
дальнегорск;Приморский край
дальнереченск;Приморский край
данилов;Ярославская область
данков;Липецкая область
дегтярск;Свердловская область
дедовск;Московская область
демидов;Смоленская область
дербент;Республика Дагестан
десногорск;Смоленская область
джанкой;Республика Крым
дзержинск;Нижегородская область
дзержинский;Московская область
дивногорск;Красноярский край
дигора;Республика Северная Осетия — Алания
димитровград;Ульяновская область
дмитриев;Курская область
дмитров;Московская область
дмитровск;Орловская область
добрянка;Пермский край
долгопрудный;Московская область
долинск;Сахалинская область
домодедово;Московская область
донецк;Ростовская область
донской;Тульская область
дорогобуж;Смоленская область
дрезна;Московская область
дубна;Московская область
дубовка;Волгоградская область
дудинка;Красноярский край
духовщина;Смоленская область
дюртюли;Республика Башкортостан
дятьково;Брянская область
евпатория;Республика Крым
егорьевск;Московская область
екатеринбург;Свердловская область
елабуга;Республика Татарстан (Татарстан)
елизово;Камчатский край
ельня;Смоленская область
еманжелинск;Челябинская область
енисейск;Красноярский край
ермолино;Калужская область
ершов;Саратовская область
ессентуки;Ставропольский край
ефремов;Тульская область
железноводск;Ставропольский край
железногорск-илимский;Иркутская область
жердевка;Тамбовская область
жигулевск;Самарская область
жиздра;Калужская область
жирновск;Волгоградская область
жуков;Калужская область
жуковка;Брянская область
жуковский;Московская область
завитинск;Амурская область
заводоуковск;Тюменская область
заволжск;Ивановская область
заволжье;Нижегородская область
задонск;Липецкая область
заинск;Республика Татарстан (Татарстан)
закаменск;Республика Бурятия
заозерный;Красноярский край
заозерск;Мурманская область
западная двина;Тверская область
заполярный;Мурманская область
зарайск;Московская область
заринск;Республика Алтай
звенигово;Республика Марий Эл
звенигород;Московская область
зверево;Ростовская область
зеленогорск;Красноярский край
зеленоградск;Калининградская область
зеленодольск;Республика Татарстан (Татарстан)
зеленокумск;Ставропольский край
зерноград;Ростовская область
златоуст;Челябинская область
злынка;Брянская область
змеиногорск;Республика Алтай
знаменск;Астраханская область
зубцов;Тверская область
зуевка;Кировская область
ивангород;Ленинградская область
иваново;Ивановская область
ивантеевка;Московская область
ивдель;Свердловская область
игарка;Красноярский край
ижевск;Удмуртская Республика
избербаш;Республика Дагестан
изобильный;Ставропольский край
иланский;Красноярский край
иннополис;Республика Татарстан (Татарстан)
инсар;Республика Мордовия
ипатово;Ставропольский край
ирбит;Свердловская область
иркутск;Иркутская область
исилькуль;Омская область
искитим;Новосибирская область
истра;Московская область
ишимбай;Республика Башкортостан
йошкар-ола;Республика Марий Эл
кадников;Вологодская область
казань;Республика Татарстан (Татарстан)
калач;Воронежская область
калач-на-дону;Волгоградская область
калачинск;Омская область
