oktmo:region
79000000:Республика Адыгея
80000000:Республика Башкортостан
81000000:Республика Бурятия
84000000:Республика Алтай
82000000:Республика Дагестан
26000000:Республика Ингушетия
83000000:Кабардино-Балкарская Республика
85000000:Республика Калмыкия
91000000:Карачаево-Черкесская Республика
86000000:Республика Карелия
87000000:Республика Коми
88000000:Республика Марий Эл
89000000:Республика Мордовия
98000000:Республика Саха (Якутия)
90000000:Республика Северная Осетия - Алания
92000000:Республика Татарстан (Татарстан)
93000000:Республика Тыва
94000000:Удмуртская Республика
95000000:Республика Хакасия
96000000:Чеченская Республика
97000000:Чувашская Республика — Чувашия
01000000:Алтайский край
03000000:Краснодарский край
04000000:Красноярский край
05000000:Приморский край
07000000:Ставропольский край
08000000:Хабаровский край
10000000:Амурская область
11000000:Архангельская область
12000000:Астраханская область
14000000:Белгородская область
15000000:Брянская область
17000000:Владимирская область
18000000:Волгоградская область
19000000:Вологодская область
20000000:Воронежская область
24000000:Ивановская область
25000000:Иркутская область
27000000:Калининградская область
29000000:Калужская область
30000000:Камчатский край
32000000:Кемеровская область — Кузбасс
33000000:Кировская область
34000000:Костромская область
37000000:Курганская область
38000000:Курская область
41000000:Ленинградская область
42000000:Липецкая область
44000000:Магаданская область
46000000:Московская область
47000000:Мурманская область
22000000:Нижегородская область
49000000:Новгородская область
50000000:Новосибирская область
52000000:Омская область
53000000:Оренбургская область
54000000:Орловская область
56000000:Пензенская область
57000000:Пермский край
58000000:Псковская область
60000000:Ростовская область
61000000:Рязанская область
36000000:Самарская область
63000000:Саратовская область
64000000:Сахалинская область
65000000:Свердловская область
66000000:Смоленская область
68000000:Тамбовская область
28000000:Тверская область
69000000:Томская область
70000000:Тульская область
71000000:Тюменская область
73000000:Ульяновская область
75000000:Челябинская область
76000000:Забайкальский край
78000000:Ярославская область
45000000:Москва
40000000:Санкт-Петербург
99000000:Еврейская автономная область
11800000:Ненецкий АО
71800000:Ханты-Мансийский Автономный округ - Югра
77000000:Чукотский АО
71900000:Ямало-Ненецкий АО
35000000:Республика Крым
67000000:Севастополь
55000000:Байконур
